oncDoc2, oncPat1HR, addItem
oncPat1, oncPat1noteItem, read
carAgent2, carPat2HR, addNote
oncNurse2, oncPat1HR, addItem
doc1, oncPat2oncItem, read
oncDoc4, oncPat2oncItem, read
oncDoc1, oncPat2HR, addItem
anesDoc1, oncPat1HR, addItem
oncDoc1, oncPat2oncItem, read
oncNurse2, oncPat2HR, addItem
carAgent1, carPat2HR, addNote
carDoc1, carPat1HR, addItem
doc2, carPat2carItem, read
carDoc1, carPat1carItem, read
carNurse1, carPat2HR, addItem
carNurse1, carPat1nursingItem, read
oncDoc1, oncPat1HR, addItem
oncDoc4, oncPat2HR, addItem
carNurse1, carPat1HR, addItem
carDoc2, carPat2carItem, read
carAgent1, carPat2noteItem, read
carNurse2, carPat1HR, addItem
oncPat1, oncPat1HR, addNote
oncAgent2, oncPat2HR, addNote
carDoc2, carPat2HR, addItem
oncDoc3, oncPat2oncItem, read
carPat2, carPat2HR, addNote
oncDoc3, oncPat2HR, addItem
oncAgent1, oncPat2HR, addNote
oncNurse1, oncPat2HR, addItem
oncDoc2, oncPat1oncItem, read
oncNurse1, oncPat2nursingItem, read
oncPat2, oncPat2HR, addNote
carDoc2, carPat1carItem, read
oncNurse2, oncPat1nursingItem, read
oncDoc1, oncPat1oncItem, read
oncNurse1, oncPat1HR, addItem
carPat1, carPat1HR, addNote
oncAgent1, oncPat2noteItem, read
carNurse2, carPat2nursingItem, read
carPat1, carPat1noteItem, read
anesDoc1, carPat1HR, addItem
carNurse2, carPat2HR, addItem
