Common lines: 0

Only in Original ACL: 43
anesDoc1, carPat1HR, addItem
anesDoc1, oncPat1HR, addItem
carAgent1, carPat2HR, addNote
carAgent1, carPat2noteItem, read
carAgent2, carPat2HR, addNote
carDoc1, carPat1HR, addItem
carDoc1, carPat1carItem, read
carDoc2, carPat1carItem, read
carDoc2, carPat2HR, addItem
carDoc2, carPat2carItem, read
carNurse1, carPat1HR, addItem
carNurse1, carPat1nursingItem, read
carNurse1, carPat2HR, addItem
carNurse2, carPat1HR, addItem
carNurse2, carPat2HR, addItem
carNurse2, carPat2nursingItem, read
carPat1, carPat1HR, addNote
carPat1, carPat1noteItem, read
carPat2, carPat2HR, addNote
doc1, oncPat2oncItem, read
doc2, carPat2carItem, read
oncAgent1, oncPat2HR, addNote
oncAgent1, oncPat2noteItem, read
oncAgent2, oncPat2HR, addNote
oncDoc1, oncPat1HR, addItem
oncDoc1, oncPat1oncItem, read
oncDoc1, oncPat2HR, addItem
oncDoc1, oncPat2oncItem, read
oncDoc2, oncPat1HR, addItem
oncDoc2, oncPat1oncItem, read
oncDoc3, oncPat2HR, addItem
oncDoc3, oncPat2oncItem, read
oncDoc4, oncPat2HR, addItem
oncDoc4, oncPat2oncItem, read
oncNurse1, oncPat1HR, addItem
oncNurse1, oncPat2HR, addItem
oncNurse1, oncPat2nursingItem, read
oncNurse2, oncPat1HR, addItem
oncNurse2, oncPat1nursingItem, read
oncNurse2, oncPat2HR, addItem
oncPat1, oncPat1HR, addNote
oncPat1, oncPat1noteItem, read
oncPat2, oncPat2HR, addNote

Only in LLM ACL: 652
anesDoc1, carPat1HR, type [ {HR}
anesDoc1, carPat1carItem, topics ] {note}
anesDoc1, carPat1carItem, type [ {HR}
anesDoc1, carPat1noteItem, topics ] {note}
anesDoc1, carPat1noteItem, type [ {HR}
anesDoc1, carPat1nursingItem, topics ] {note}
anesDoc1, carPat1nursingItem, type [ {HR}
anesDoc1, carPat2HR, type [ {HR}
anesDoc1, carPat2carItem, topics ] {note}
anesDoc1, carPat2carItem, type [ {HR}
anesDoc1, carPat2noteItem, topics ] {note}
anesDoc1, carPat2noteItem, type [ {HR}
anesDoc1, carPat2nursingItem, topics ] {note}
anesDoc1, carPat2nursingItem, type [ {HR}
anesDoc1, oncPat1HR, type [ {HR}
anesDoc1, oncPat1noteItem, topics ] {note}
anesDoc1, oncPat1noteItem, type [ {HR}
anesDoc1, oncPat1nursingItem, topics ] {note}
anesDoc1, oncPat1nursingItem, type [ {HR}
anesDoc1, oncPat1oncItem, topics ] {note}
anesDoc1, oncPat1oncItem, type [ {HR}
anesDoc1, oncPat2HR, type [ {HR}
anesDoc1, oncPat2noteItem, topics ] {note}
anesDoc1, oncPat2noteItem, type [ {HR}
anesDoc1, oncPat2nursingItem, topics ] {note}
anesDoc1, oncPat2nursingItem, type [ {HR}
anesDoc1, oncPat2oncItem, topics ] {note}
anesDoc1, oncPat2oncItem, type [ {HR}
carAgent1, carPat1HR, type [ {HR}
carAgent1, carPat1carItem, topics ] {note}
carAgent1, carPat1carItem, type [ {HR}
carAgent1, carPat1noteItem, topics ] {note}
carAgent1, carPat1noteItem, type [ {HR}
carAgent1, carPat1nursingItem, topics ] {note}
carAgent1, carPat1nursingItem, type [ {HR}
carAgent1, carPat2HR, type [ {HR}
carAgent1, carPat2carItem, topics ] {note}
carAgent1, carPat2carItem, type [ {HR}
carAgent1, carPat2noteItem, topics ] {note}
carAgent1, carPat2noteItem, type [ {HR}
carAgent1, carPat2nursingItem, topics ] {note}
carAgent1, carPat2nursingItem, type [ {HR}
carAgent1, oncPat1HR, type [ {HR}
carAgent1, oncPat1noteItem, topics ] {note}
carAgent1, oncPat1noteItem, type [ {HR}
carAgent1, oncPat1nursingItem, topics ] {note}
carAgent1, oncPat1nursingItem, type [ {HR}
carAgent1, oncPat1oncItem, topics ] {note}
carAgent1, oncPat1oncItem, type [ {HR}
carAgent1, oncPat2HR, type [ {HR}
carAgent1, oncPat2noteItem, topics ] {note}
carAgent1, oncPat2noteItem, type [ {HR}
carAgent1, oncPat2nursingItem, topics ] {note}
carAgent1, oncPat2nursingItem, type [ {HR}
carAgent1, oncPat2oncItem, topics ] {note}
carAgent1, oncPat2oncItem, type [ {HR}
carAgent2, carPat1HR, type [ {HR}
carAgent2, carPat1carItem, topics ] {note}
carAgent2, carPat1carItem, type [ {HR}
carAgent2, carPat1noteItem, topics ] {note}
carAgent2, carPat1noteItem, type [ {HR}
carAgent2, carPat1nursingItem, topics ] {note}
carAgent2, carPat1nursingItem, type [ {HR}
carAgent2, carPat2HR, type [ {HR}
carAgent2, carPat2carItem, topics ] {note}
carAgent2, carPat2carItem, type [ {HR}
carAgent2, carPat2noteItem, topics ] {note}
carAgent2, carPat2noteItem, type [ {HR}
carAgent2, carPat2nursingItem, topics ] {note}
carAgent2, carPat2nursingItem, type [ {HR}
carAgent2, oncPat1HR, type [ {HR}
carAgent2, oncPat1noteItem, topics ] {note}
carAgent2, oncPat1noteItem, type [ {HR}
carAgent2, oncPat1nursingItem, topics ] {note}
carAgent2, oncPat1nursingItem, type [ {HR}
carAgent2, oncPat1oncItem, topics ] {note}
carAgent2, oncPat1oncItem, type [ {HR}
carAgent2, oncPat2HR, type [ {HR}
carAgent2, oncPat2noteItem, topics ] {note}
carAgent2, oncPat2noteItem, type [ {HR}
carAgent2, oncPat2nursingItem, topics ] {note}
carAgent2, oncPat2nursingItem, type [ {HR}
carAgent2, oncPat2oncItem, topics ] {note}
carAgent2, oncPat2oncItem, type [ {HR}
carDoc1, carPat1HR, type [ {HR}
carDoc1, carPat1carItem, topics ] {note}
carDoc1, carPat1carItem, type [ {HR}
carDoc1, carPat1noteItem, topics ] {note}
carDoc1, carPat1noteItem, type [ {HR}
carDoc1, carPat1nursingItem, topics ] {note}
carDoc1, carPat1nursingItem, type [ {HR}
carDoc1, carPat2HR, type [ {HR}
carDoc1, carPat2carItem, topics ] {note}
carDoc1, carPat2carItem, type [ {HR}
carDoc1, carPat2noteItem, topics ] {note}
carDoc1, carPat2noteItem, type [ {HR}
carDoc1, carPat2nursingItem, topics ] {note}
carDoc1, carPat2nursingItem, type [ {HR}
carDoc1, oncPat1HR, type [ {HR}
carDoc1, oncPat1noteItem, topics ] {note}
carDoc1, oncPat1noteItem, type [ {HR}
carDoc1, oncPat1nursingItem, topics ] {note}
carDoc1, oncPat1nursingItem, type [ {HR}
carDoc1, oncPat1oncItem, topics ] {note}
carDoc1, oncPat1oncItem, type [ {HR}
carDoc1, oncPat2HR, type [ {HR}
carDoc1, oncPat2noteItem, topics ] {note}
carDoc1, oncPat2noteItem, type [ {HR}
carDoc1, oncPat2nursingItem, topics ] {note}
carDoc1, oncPat2nursingItem, type [ {HR}
carDoc1, oncPat2oncItem, topics ] {note}
carDoc1, oncPat2oncItem, type [ {HR}
carDoc2, carPat1HR, type [ {HR}
carDoc2, carPat1carItem, topics ] {note}
carDoc2, carPat1carItem, type [ {HR}
carDoc2, carPat1noteItem, topics ] {note}
carDoc2, carPat1noteItem, type [ {HR}
carDoc2, carPat1nursingItem, topics ] {note}
carDoc2, carPat1nursingItem, type [ {HR}
carDoc2, carPat2HR, type [ {HR}
carDoc2, carPat2carItem, topics ] {note}
carDoc2, carPat2carItem, type [ {HR}
carDoc2, carPat2noteItem, topics ] {note}
carDoc2, carPat2noteItem, type [ {HR}
carDoc2, carPat2nursingItem, topics ] {note}
carDoc2, carPat2nursingItem, type [ {HR}
carDoc2, oncPat1HR, type [ {HR}
carDoc2, oncPat1noteItem, topics ] {note}
