carPat1, carPat1HR, addItem
carPat1, carPat1noteItem, addItem
oncNurse2, oncPat1nursingItem, addItem
oncAgent1, oncPat2nursingItem, addNote
oncAgent1, oncPat2noteItem, addNote
carPat2, carPat1nursingItem, addItem
carPat1, carPat2carItem, addItem
oncPat1, oncPat2noteItem, addItem
carPat2, carPat1HR, addItem
carPat1, carPat2noteItem, addItem
carNurse2, carPat1HR, addItem
oncAgent2, oncPat2nursingItem, addNote
carNurse1, carPat1noteItem, addItem
carNurse2, carPat1carItem, addItem
carNurse1, carPat1carItem, addItem
carNurse2, carPat2noteItem, addItem
carNurse2, carPat2HR, addItem
carPat1, carPat1nursingItem, addItem
oncNurse1, oncPat1HR, addItem
oncAgent2, oncPat2noteItem, addNote
oncPat1, oncPat1oncItem, addItem
carPat1, carPat2nursingItem, addItem
oncPat2, oncPat1HR, addItem
carAgent2, carPat2HR, addNote
carNurse2, carPat1noteItem, addItem
carAgent2, carPat2noteItem, addNote
oncNurse2, oncPat1oncItem, addItem
oncNurse2, oncPat2nursingItem, addItem
oncPat1, oncPat2oncItem, addItem
oncPat2, oncPat2nursingItem, addItem
oncPat2, oncPat1oncItem, addItem
oncNurse2, oncPat2oncItem, addItem
oncPat2, oncPat1noteItem, addItem
oncNurse1, oncPat2noteItem, addItem
oncNurse1, oncPat1nursingItem, addItem
oncPat1, oncPat2nursingItem, addItem
carNurse2, carPat2nursingItem, addItem
carPat1, carPat2HR, addItem
carNurse1, carPat2HR, addItem
carNurse1, carPat1nursingItem, addItem
oncPat2, oncPat1nursingItem, addItem
oncNurse1, oncPat1noteItem, addItem
oncPat2, oncPat2noteItem, addItem
oncPat1, oncPat1HR, addItem
carAgent1, carPat2nursingItem, addNote
carNurse1, carPat2nursingItem, addItem
carPat2, carPat1carItem, addItem
carNurse2, carPat1nursingItem, addItem
oncAgent1, oncPat2oncItem, addNote
oncPat1, oncPat1nursingItem, addItem
oncPat1, oncPat1noteItem, addItem
carPat2, carPat1noteItem, addItem
carPat2, carPat2noteItem, addItem
carPat1, carPat1carItem, addItem
oncNurse1, oncPat2oncItem, addItem
carAgent1, carPat2HR, addNote
oncNurse2, oncPat1noteItem, addItem
carPat2, carPat2HR, addItem
oncAgent2, oncPat2oncItem, addNote
oncNurse1, oncPat2HR, addItem
carAgent1, carPat2carItem, addNote
oncPat2, oncPat2HR, addItem
carAgent2, carPat2carItem, addNote
oncPat1, oncPat2HR, addItem
carNurse1, carPat2noteItem, addItem
carNurse1, carPat2carItem, addItem
oncNurse2, oncPat2HR, addItem
carAgent2, carPat2nursingItem, addNote
oncNurse2, oncPat1HR, addItem
oncPat2, oncPat2oncItem, addItem
oncAgent1, oncPat2HR, addNote
carNurse2, carPat2carItem, addItem
oncAgent2, oncPat2HR, addNote
carPat2, carPat2carItem, addItem
oncNurse1, oncPat2nursingItem, addItem
carAgent1, carPat2noteItem, addNote
oncNurse1, oncPat1oncItem, addItem
carPat2, carPat2nursingItem, addItem
oncNurse2, oncPat2noteItem, addItem
carNurse1, carPat1HR, addItem
