Common lines: 12
carAgent1, carPat2HR, addNote
carAgent2, carPat2HR, addNote
carNurse1, carPat1HR, addItem
carNurse1, carPat2HR, addItem
carNurse2, carPat1HR, addItem
carNurse2, carPat2HR, addItem
oncAgent1, oncPat2HR, addNote
oncAgent2, oncPat2HR, addNote
oncNurse1, oncPat1HR, addItem
oncNurse1, oncPat2HR, addItem
oncNurse2, oncPat1HR, addItem
oncNurse2, oncPat2HR, addItem

Only in ground truth ACL: 31
anesDoc1, carPat1HR, addItem
anesDoc1, oncPat1HR, addItem
carAgent1, carPat2noteItem, read
carDoc1, carPat1HR, addItem
carDoc1, carPat1carItem, read
carDoc2, carPat1carItem, read
carDoc2, carPat2HR, addItem
carDoc2, carPat2carItem, read
carNurse1, carPat1nursingItem, read
carNurse2, carPat2nursingItem, read
carPat1, carPat1HR, addNote
carPat1, carPat1noteItem, read
carPat2, carPat2HR, addNote
doc1, oncPat2oncItem, read
doc2, carPat2carItem, read
oncAgent1, oncPat2noteItem, read
oncDoc1, oncPat1HR, addItem
oncDoc1, oncPat1oncItem, read
oncDoc1, oncPat2HR, addItem
oncDoc1, oncPat2oncItem, read
oncDoc2, oncPat1HR, addItem
oncDoc2, oncPat1oncItem, read
oncDoc3, oncPat2HR, addItem
oncDoc3, oncPat2oncItem, read
oncDoc4, oncPat2HR, addItem
oncDoc4, oncPat2oncItem, read
oncNurse1, oncPat2nursingItem, read
oncNurse2, oncPat1nursingItem, read
oncPat1, oncPat1HR, addNote
oncPat1, oncPat1noteItem, read
oncPat2, oncPat2HR, addNote

Only in LLM ACL: 68
carAgent1, carPat2carItem, addNote
carAgent1, carPat2noteItem, addNote
carAgent1, carPat2nursingItem, addNote
carAgent2, carPat2carItem, addNote
carAgent2, carPat2noteItem, addNote
carAgent2, carPat2nursingItem, addNote
carNurse1, carPat1carItem, addItem
carNurse1, carPat1noteItem, addItem
carNurse1, carPat1nursingItem, addItem
carNurse1, carPat2carItem, addItem
carNurse1, carPat2noteItem, addItem
carNurse1, carPat2nursingItem, addItem
carNurse2, carPat1carItem, addItem
carNurse2, carPat1noteItem, addItem
carNurse2, carPat1nursingItem, addItem
carNurse2, carPat2carItem, addItem
carNurse2, carPat2noteItem, addItem
carNurse2, carPat2nursingItem, addItem
carPat1, carPat1HR, addItem
carPat1, carPat1carItem, addItem
carPat1, carPat1noteItem, addItem
carPat1, carPat1nursingItem, addItem
carPat1, carPat2HR, addItem
carPat1, carPat2carItem, addItem
carPat1, carPat2noteItem, addItem
carPat1, carPat2nursingItem, addItem
carPat2, carPat1HR, addItem
carPat2, carPat1carItem, addItem
carPat2, carPat1noteItem, addItem
carPat2, carPat1nursingItem, addItem
carPat2, carPat2HR, addItem
carPat2, carPat2carItem, addItem
carPat2, carPat2noteItem, addItem
carPat2, carPat2nursingItem, addItem
oncAgent1, oncPat2noteItem, addNote
oncAgent1, oncPat2nursingItem, addNote
oncAgent1, oncPat2oncItem, addNote
oncAgent2, oncPat2noteItem, addNote
oncAgent2, oncPat2nursingItem, addNote
oncAgent2, oncPat2oncItem, addNote
oncNurse1, oncPat1noteItem, addItem
oncNurse1, oncPat1nursingItem, addItem
oncNurse1, oncPat1oncItem, addItem
oncNurse1, oncPat2noteItem, addItem
oncNurse1, oncPat2nursingItem, addItem
oncNurse1, oncPat2oncItem, addItem
oncNurse2, oncPat1noteItem, addItem
oncNurse2, oncPat1nursingItem, addItem
oncNurse2, oncPat1oncItem, addItem
oncNurse2, oncPat2noteItem, addItem
oncNurse2, oncPat2nursingItem, addItem
oncNurse2, oncPat2oncItem, addItem
oncPat1, oncPat1HR, addItem
oncPat1, oncPat1noteItem, addItem
oncPat1, oncPat1nursingItem, addItem
oncPat1, oncPat1oncItem, addItem
oncPat1, oncPat2HR, addItem
oncPat1, oncPat2noteItem, addItem
oncPat1, oncPat2nursingItem, addItem
oncPat1, oncPat2oncItem, addItem
oncPat2, oncPat1HR, addItem
oncPat2, oncPat1noteItem, addItem
oncPat2, oncPat1nursingItem, addItem
oncPat2, oncPat1oncItem, addItem
oncPat2, oncPat2HR, addItem
oncPat2, oncPat2noteItem, addItem
oncPat2, oncPat2nursingItem, addItem
oncPat2, oncPat2oncItem, addItem

Total different lines: 99
