rule(position=nurse, ward [ {oncWard}; type=HRitem, topics ] {nursing}; {read}; ward=ward)
rule(position=nurse, ward [ {carWard}; type=HRitem, topics ] {nursing}; {read}; ward=ward)
rule(position=doctor, specialties ] oncology; type=HRitem, topics ] {oncology}; {read}; treatingTeam=treatingTeam)
rule(position=doctor, specialties ] cardiology; type=HRitem, topics ] {cardiology}; {read}; treatingTeam=treatingTeam)
rule(position=patient; type=HRitem, topics ] {note}; {read}; patient=patient)
rule(position=agent; type=HRitem, topics ] {note}; {read}; agentFor ] patient)
rule(position=doctor, specialties ] anesthesiology; type=HR; {addItem}; teams > treatingTeam)
rule(position=nurse; type=HR; {addItem}; ward=ward)
rule(position=doctor, specialties ] oncology; type=HR; {addItem}; teams > treatingTeam)
rule(position=doctor, specialties ] cardiology; type=HR; {addItem}; teams > treatingTeam)
rule(position=agent; type=HR; {addNote}; agentFor ] patient)
rule(position=patient; type=HR; {addNote}; patient=patient)
rule(; type=HRitem, topics ] {note}; {read}; )
rule(position=doctor, specialties ] oncology; type=HRitem, topics ] {oncology}; {read};)
